trials.thisTrialN,trials.stepSize,trials.intensity,instructions.started,instructions.stopped,ready.keys,ready.rt,ready.started,ready.stopped,fixation.started,fixation.stopped,gabor.started,gabor.stopped,trials.response,resp.rt,resp.started,resp.stopped,participant,ori,date,expName,psychopyVersion,frameRate,
27,0.8,0.0007148954112518533,,,,,,,106.03962470000079,106.6150159000008,106.53067969999938,107.1101548000006,1,0.7033171999992192,106.65698730000076,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
28,0.8,0.0007148954112518533,,,,,,,108.63963890000014,109.22273529999984,109.13729190000049,109.71504180000011,1,0.12103519999982382,109.26546280000002,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
29,0.7,0.00011330328706147502,,,,,,,111.23701980000078,111.81261799999993,111.72927750000053,112.30957110000054,0,[],111.85544420000042,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
30,0.7,0.0005678616100321737,,,,,,,113.86407660000077,114.46746440000061,114.3397315000002,114.92440490000081,0,[],114.46746440000061,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
31,0.7,0.0028460498941515395,,,,,,,116.43832870000006,117.01659239999935,116.93188000000009,117.5147307999996,1,0.22603859999981069,117.05973260000064,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
32,0.7,0.0028460498941515395,,,,,,,119.03163029999996,119.61102729999948,119.5263200999998,120.10685589999957,1,0.10018219999983557,119.65500109999994,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
33,0.7,0.0028460498941515395,,,,,,,121.62746510000034,122.2040491000007,122.12030360000063,122.69780360000004,1,0.30265069999950356,122.24768199999926,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
34,0.7,0.0005678616100321737,,,,,,,124.23759500000051,124.82136449999962,124.7372978000003,125.31959579999966,1,0.11690230000021984,124.8643591,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
35,0.7,0.0005678616100321737,,,,,,,126.83779549999963,127.41595079999934,127.3320930000009,127.90126120000059,1,0.1755807999998069,127.4584175,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
36,0.7,0.0005678616100321737,,,,,,,129.43372140000065,130.01105909999933,129.92694579999988,130.50513049999972,1,0.33298049999939394,130.0539105000007,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
37,0.7,0.00011330328706147501,,,,,,,132.0384424999993,132.61450569999943,132.53032600000006,133.10928280000007,1,0.33005530000082217,132.6576184000005,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
38,0.7,0.00011330328706147501,,,,,,,134.63320000000022,135.20882429999983,135.12592640000003,135.7030649999997,1,0.3917293999984395,135.25213410000106,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
39,0.7,0.00011330328706147501,,,,,,,137.2334809999993,137.80941180000082,137.72583169999962,138.3076402000006,1,0.34076310000091325,137.85198429999946,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
40,0.7,2.2606977883586216e-05,,,,,,,139.83323999999993,140.41059010000026,140.3273384999993,140.90637059999972,1,0.28318579999904614,140.45343270000012,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
41,0.7,2.2606977883586216e-05,,,,,,,142.42753950000042,143.0111391999999,142.92658070000107,143.50695000000087,1,0.14851160000034724,143.05475040000056,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
42,0.6,2.2606977883586216e-05,,,,,,,145.03691600000093,145.6120288000002,145.5286476000001,146.10862889999953,0,[],145.65614280000045,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
43,0.6,8.999999999999998e-05,,,,,,,147.63737120000042,148.21431660000053,148.13119310000002,148.69996410000022,1,0.3942872999996325,148.25709900000038,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
44,0.6,8.999999999999998e-05,,,,,,,150.2331549999999,150.80852070000037,150.72432169999956,151.3066863999993,1,0.23802189999878465,150.85109589999956,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
45,0.6,8.999999999999998e-05,,,,,,,152.84128729999975,153.42206350000015,153.33748770000057,153.91480840000077,1,0.42625980000048,153.46488429999954,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
